content,topic,subject,keywords
"24.2 Production of Electromagnetic Waves By the end of this section, you will be able to: Describe the electric and magnetic waves as they move out from a source, such as an AC generator. Explain the mathematical relationship between the magnetic field strength and the electrical field strength. Calculate the maximum strength of the magnetic field in an electromagnetic wave, given the maximum electric field strength. We can get a good understanding of electromagnetic waves (EM) by considering how they are produced. Whenever a current varies, associated electric and magnetic fields vary, moving out from the source like waves. Perhaps the easiest situation to visualize is a varying current in a long straight wire, produced by an AC generator at its center, as illustrated . Shown here are the charge distributions at four different times. The electric field ( ) propagates away from the antenna at the speed of light, forming part of an electromagnetic wave. The electric field ( ) shown surrounding the wire is produced by the charge distribution on the wire. Both the and the charge distribution vary as the current changes. The changing field propagates outward at the speed of light. There is an associated magnetic field ( ) which propagates outward as well (). The electric and magnetic fields are closely related and propagate as an electromagnetic wave. This is what happens in broadcast antennae such as those in radio and TV stations. Closer examination of the one complete cycle shown reveals the periodic nature of the generator- driven charges oscillating up and down in the antenna and the electric field produced. At time , there is the maximum separation of charge, with negative charges at the top and positive charges at the bottom, producing the maximum magnitude of the electric field (or -field) in the upward direction. One-fourth of a cycle later, there is no charge separation and the field next to the antenna is zero, while the maximum -field has moved away at speed . As the process continues, the charge separation reverses and the field reaches its maximum downward value, returns to zero, and rises to its maximum upward value at the end of one complete cycle. The outgoing wave has an amplitude proportional to the maximum separation of charge. Its wavelength is proportional to the period of the oscillation and, hence, is smaller for short periods or high frequencies. (As usual, wavelength and frequency are 24.2 Production of Electromagnetic Waves inversely proportional.) Electric and Magnetic Waves: Moving Together Following Ampere's law, current in the antenna produces a magnetic field, as shown . The relationship between and is shown at one instant (a). As the current varies, the magnetic field varies in magnitude and direction. The current ( ) produces the separation of charge along the wire, which in turn creates the electric field as shown. (b) The electric and magnetic fields ( and ) near the wire are perpendicular; they are shown here for one point in space. (c) The magnetic field varies with current and propagates away from the antenna at the speed of light. The magnetic field lines also propagate away from the antenna at the speed of light, forming the other part of the electromagnetic wave, as seen (b). The magnetic part of the wave has the same period and wavelength as the electric part, since they are both produced by the same movement and separation of charges in the antenna. The electric and magnetic waves are shown together at one instant in time . The electric and magnetic fields produced by a long straight wire antenna are exactly in phase. Note that they are perpendicular to one another and to the direction of propagation, making this a transverse wave. The electric and magnetic fields ( and ) are in phase, and they are perpendicular to one another and the direction of propagation. For clarity, the waves are shown only along one direction, but they propagate out in other directions too. Electromagnetic waves generally propagate out from a source in all directions, sometimes forming a complex radiation pattern. A linear antenna like this one will not radiate parallel to its length, for example. The wave is shown in one direction from the antenna to illustrate its basic characteristics. Instead of the AC generator, the antenna can also be driven by an AC circuit. In fact, charges radiate whenever they are accelerated.",24.2 Production of Electromagnetic Waves,Physics,"learning objectives, magnetic field, field, electric field, magnetic"
"INTRODUCTION TO WORK, ENERGY, AND ENERGY RESOURCES CHAPTER Work, Energy, and Energy Resources 7.1 Work: The Scientific Definition 7.2 Kinetic Energy and the Work-Energy Theorem 7.3 Gravitational Potential Energy 7.4 Conservative Forces and Potential Energy 7.5 Nonconservative Forces 7.6 Conservation of Energy 7.7 Power 7.8 Work, Energy, and Power in Humans 7.9 World Energy Use Energy plays an essential role both in everyday events and in scientific phenomena. You can no doubt name many forms of energy, from that provided by our foods, to the energy we use to run our cars, to the sunlight that warms us on the beach. You can also cite examples of what people call energy that may not be scientific, such as someone having an energetic personality. Not only does energy have many interesting forms, it is involved in almost all phenomena, and is one of the most important concepts of physics. What makes it even more important is that the total amount of energy in the universe is constant. Energy can change forms, but it cannot appear from nothing or disappear without a trace. Energy is thus one of a handful of physical quantities that we say is conserved. Conservation of energy (as physicists like to call the principle that energy can neither be created nor destroyed) is based on experiment. For example, scientists Willem's Gravesande and milie du Ch telet undertook (separate) experiments where they dropped heavy lead balls into beds of clay. Du Ch telet showed that the balls that hit the clay with twice the velocity penetrated four times as deep into the clay; those with three times the velocity reached a depth nine times greater. This led her to develop a more accurate concept of energy conservation, expressed as . Even as scientists discovered new forms of energy, conservation of energy has always been found to apply. Perhaps the most dramatic example of this was supplied by Einstein when he suggested that mass is equivalent to energy (his famous equation ). FIGURE 7.1 How many forms of energy can you identify in this photograph of a wind farm in Iowa?","Introduction to Work, Energy, and Energy Resources",Physics,"gravitational potential, conservative forces, nonconservative forces, potential energy, energy"
"equation to solve for . Inserting , we obtain where we take the positive value as the physically relevant answer. Thus, it takes about 2.5 seconds for the piece of ice to hit the water. PHET EXPLORATIONS Equation Grapher Learn about graphing polynomials. The shape of the curve changes as the constants are adjusted. View the curves for the individual terms (e.g. ) to see how they add to generate the polynomial curve. Access multimedia content ( 2.8 Graphical Analysis of One-Dimensional Motion By the end of this section, you will be able to: Describe a straight-line graph in terms of its slope and y-intercept. Determine average velocity or instantaneous velocity from a graph of position vs. time. Determine average or instantaneous acceleration from a graph of velocity vs. time. Derive a graph of velocity vs. time from a graph of position vs. time. Derive a graph of acceleration vs. time from a graph of velocity vs. time. A graph, like a picture, is worth a thousand words. Graphs not only contain numerical information; they also reveal relationships between physical quantities. This section uses graphs of position, velocity, and acceleration versus time to illustrate one-dimensional kinematics. Slopes and General Relationships First note that graphs in this text have perpendicular axes, one horizontal and the other vertical. When two physical quantities are plotted against one another in such a graph, the horizontal axis is usually considered to be an independent variable and the vertical axis a dependent variable. If we call the horizontal axis the -axis and the vertical axis the -axis, as , a straight-line graph has the general form Here is the slope, defined to be the rise divided by the run (as seen in the figure) of the straight line. The letter is used for the y-intercept, which is the point at which the line crosses the vertical axis. 2.88 2.89 2 Kinematics The equation for a straight line is . Graph of Position vs. Time (a = 0, so v is constant) Time is usually an independent variable that other quantities, such as position, depend upon. A graph of position versus time would, thus, have on the vertical axis and on the horizontal axis. Figure 2.45 is just such a straight- line graph. It shows a graph of position versus time for a jet-powered car on a very flat dry lake bed in Nevada. Using the relationship between dependent and independent variables, we see that the slope in the graph above is average velocity and the intercept is position at time zero that is, . Substituting these symbols into gives or Thus a graph of position versus time gives a general relationship among displacement(change in position), velocity, and time, as well as giving detailed numerical information about a specific situation. 2.90 2.91 THE SLOPE OF X VS. T The slope of the graph of position vs. time is velocity . Notice that this equation is the same as that derived algebraically from other motion equations in Motion Equations for Constant Acceleration in One Dimension. 2.92 2.8 Graphical Analysis of One-Dimensional Motion From the figure we can see that the car has a position of m at 0.50 s and m at 6.40 s. Its position at other times can be read from the graph; furthermore, information about its velocity and acceleration can also be obtained from the graph. EXAMPLE 2.17 Determining Average Velocity from a Graph of Position versus Time: Jet Car Find the average velocity of the car whose position is graphed . Strategy The slope of a graph of vs. is average velocity, since slope equals rise over run. In this case, rise = change in position and run = change in time, so that Since the slope is constant here, any two points on the graph can be used to find the slope. (Generally speaking, it is most accurate to use two widely separated points on the straight line. This is because any error in reading data from the graph is proportionally smaller if the interval is larger.) Solution 1. Choose two points on the line. In this case, we choose the points labeled on the graph: (6.4 s, m) and (0.50 s, m). (Note, however, that you could choose any two points.) 2. Substitute the and values of the chosen points into the equation. Remember in calculating change we always use final value minus initial value. yielding Discussion This is an impressively large land speed (900 km/h, or about mi/h): much greater than the typical highway speed limit of mi/h (27 m/s or km/h), but considerably shy of the record of m/s (1234 km/h or mi/h) set in 1997. Graphs of Motion when is constant but The graphs below represent the motion of the jet-powered car as it accelerates toward its top speed, but only during the time when its acceleration is constant.",2.8 Graphical Analysis of One-Dimensional Motion,Physics,"graph, time, position, velocity, versus time"
"EXAMPLE 10.6 Calculating the Distance Traveled by a Fly on the Edge of a Microwave Oven Plate A person decides to use a microwave oven to reheat some lunch. In the process, a fly accidentally flies into the microwave and lands on the outer edge of the rotating plate and remains there. If the plate has a radius of 0.15 m and rotates at 6.0 rpm, calculate the total distance traveled by the fly during a 2.0-min cooking period. (Ignore the start-up and slow-down times.) Strategy First, find the total number of revolutions , and then the linear distance traveled. can be used to find because is given to be 6.0 rpm. Solution Entering known values into gives As always, it is necessary to convert revolutions to radians before calculating a linear quantity like from an angular quantity like : Now, using the relationship between and , we can determine the distance traveled: Discussion Quite a trip (if it survives)! Note that this distance is the total distance traveled by the fly. Displacement is actually zero for complete revolutions because they bring the fly back to its original position. The distinction between total distance traveled and displacement was first noted in One-Dimensional Kinematics. CHECK YOUR UNDER STANDING Rotational kinematics has many useful relationships, often expressed in equation form. Are these relationships laws of physics or are they simply descriptive? (Hint: the same question applies to linear kinematics.) Solution Rotational kinematics (just like linear kinematics) is descriptive and does not represent laws of nature. With kinematics, we can describe many things to great precision but kinematics does not consider causes. For example, a large angular acceleration describes a very rapid change in angular velocity without any consideration of its cause. 10.3 Dynamics of Rotational Motion: Rotational Inertia By the end of this section, you will be able to: Understand the relationship between force, mass and acceleration. Study the turning effect of force. Study the analogy between force and torque, mass and moment of inertia, and linear acceleration and angular acceleration. If you have ever spun a bike wheel or pushed a merry-go-round, you know that force is needed to change angular velocity as seen . In fact, your intuition is reliable in predicting many of the factors that are involved. For example, we know that a door opens slowly if we push too close to its hinges. Furthermore, we know that the more massive the door, the more slowly it opens. The first example implies that the farther the force is applied from 10.37 10.38 10.39 10 Rotational Motion and Angular Momentum the pivot, the greater the angular acceleration; another implication is that angular acceleration is inversely proportional to mass. These relationships should seem very similar to the familiar relationships among force, mass, and acceleration embodied in Newton's second law of motion. There are, in fact, precise rotational analogs to both force and mass. The greater the force, the greater the angular acceleration produced. The more massive the wheel, the smaller the angular acceleration. If you push on a spoke closer to the axle, the angular acceleration will be smaller. To develop the precise relationship among force, mass, radius, and angular acceleration, consider what happens if we exert a force on a point mass that is at a distance from a pivot point, as shown . Because the force is perpendicular to , an acceleration is obtained in the direction of . We can rearrange this equation such that and then look for ways to relate this expression to expressions for rotational quantities. We note that , and we substitute this expression into , yielding Recall that torque is the turning effectiveness of a force. In this case, because is perpendicular to , torque is simply . So, if we multiply both sides of the equation above by , we get torque on the left-hand side. That is, or This last equation is the rotational analog of Newton's second law ( ), where torque is analogous to force, angular acceleration is analogous to translational acceleration, and is analogous to mass (or inertia). The quantity is called the rotational inertia or moment of inertia of a point mass a distance from the center of rotation. A force is applied to the object perpendicular to the radius , causing it to accelerate about the pivot point. The force is kept perpendicular to . 10.40 10.41 10.42 MAKING CONNECTIONS: ROTATIONAL MOTION DYNAMICS Dynamics for rotational motion is completely analogous to linear or translational dynamics. Dynamics is concerned with force and mass and their effects on motion.",10.3 Dynamics of Rotational Motion: Rotational Inertia,Physics,"microwave oven, angular acceleration, distance traveled, force, oven plate"
"Consider the velocity vs. time graph of a person in an elevator shown . Suppose the elevator is initially at rest. It then accelerates for seconds, maintains that velocity for seconds, then decelerates for seconds until it stops. The acceleration for the entire trip is not constant so we cannot use the equations of motion from Motion Equations for Constant Acceleration in One Dimension for the complete trip. (We could, however, use them in the three individual sections where acceleration is a constant.) Sketch graphs of (a) position vs. time and (b) acceleration vs. time for this trip. A cylinder is given a push and then rolls up an inclined plane. If the origin is the starting point, sketch the position, velocity, and acceleration of the cylinder vs. time as it goes up and then down the plane. Problems & Exercises 2.1 Displacement Find the following for path A : (a) The distance traveled. (b) The magnitude of the displacement from start to finish. (c) The displacement from start to finish. . Find the following for path B : (a) The distance traveled. (b) The magnitude of the displacement from start to finish. (c) The displacement from start to finish. . Find the following for path C : (a) The distance traveled. (b) The magnitude of the displacement from start to finish. (c) The displacement from start to finish. . Find the following for path D : (a) The distance traveled. (b) The magnitude of the displacement from start to finish. (c) The displacement from start to finish. 2.3 Time, Velocity, and Speed . (a) Calculate Earth's average speed relative to the Sun. (b) What is its average velocity over a period of one year? . A helicopter blade spins at exactly revolutions per minute. Its tip is 5.00 m from the center of rotation. (a) Calculate the average speed of the blade tip in the helicopter's frame of reference. (b) What is its average velocity over one revolution? . The North American and European continents are moving apart at a rate of about cm/y. At this rate how long will it take them to drift km farther apart than they are at present? . Land west of the San Andreas fault in southern California is moving at an average velocity of about cm/y northwest relative to land east of the fault. Los Angeles is west of the fault and may thus someday be at the same latitude as San Francisco, which is east of the fault. How far in the future will this occur if the displacement to be made is km northwest, assuming the motion remains constant? 2 Problems & Exercises . On May 26, 1934, a streamlined, stainless steel diesel train called the Zephyr set the world's nonstop long-distance speed record for trains. Its run from Denver to Chicago took hours, minutes, seconds, and was witnessed by more than a million people along the route. The total distance traveled was 1633.8 km. What was its average speed in km/h and m/s? . Tidal friction is slowing the rotation of the Earth. As a result, the orbit of the Moon is increasing in radius at a rate of approximately cm/year. Assuming this to be a constant rate, how many years will pass before the radius of the Moon's orbit increases by (1%)? . A student drove to the university from their home and noted that the odometer reading of their car increased by 12.0 km. The trip took 18.0 min. (a) What was their average speed? (b) If the straight-line distance from their home to the university is 10.3 km in a direction south of east, what was their average velocity? (c) If they returned home by the same path h min after they left, what were their average speed and velocity for the entire trip? . The speed of propagation of the action potential (an electrical signal) in a nerve cell depends (inversely) on the diameter of the axon (nerve fiber). If the nerve cell connecting the spinal cord to your feet is 1.1 m long, and the nerve impulse speed is m/s, how long does it take for the nerve signal to travel this distance? . Conversations with astronauts on the lunar surface were characterized by a kind of echo in which the earthbound person's voice was so loud in the astronaut's space helmet that it was picked up by the astronaut's microphone and transmitted back to Earth. It is reasonable to assume that the echo time equals the time necessary for the radio wave to travel from the Earth to the Moon and back (that is, neglecting any time delays in the electronic equipment). Calculate the distance from Earth to the Moon given that the echo time was 2.56 s and that radio waves travel at the speed of light . . A football quarterback runs 15.0 m straight down the playing field in 2.50 s. He is then hit and pushed 3.00 m straight backward in 1.75 s. He breaks the tackle and runs straight forward another 21.0 m in 5.20 s. Calculate his average velocity (a) for each of the three intervals and (b) for the entire motion. .",Problems & Exercises,Physics,"figure, average velocity, displacement, average speed, velocity"
"INTRODUCTION TO UNIFORM CIRCULAR MOTION AND GRAVITATION CHAPTER Uniform Circular Motion and Gravitation 6.1 Rotation Angle and Angular Velocity 6.2 Centripetal Acceleration 6.3 Centripetal Force 6.4 Fictitious Forces and Non-inertial Frames: The Coriolis Force 6.5 Newton's Universal Law of Gravitation 6.6 Satellites and Kepler's Laws: An Argument for Simplicity Many motions, such as the arc of a bird's flight or Earth's path around the Sun, are curved. Recall that Newton's first law tells us that motion is along a straight line at constant speed unless there is a net external force. We will therefore study not only motion along curves, but also the forces that cause it, including gravitational forces. In some ways, this chapter is a continuation of Dynamics: Newton's Laws of Motion as we study more applications of Newton's laws of motion. This chapter deals with the simplest form of curved motion, uniform circular motion, motion in a circular path at constant speed. Studying this topic illustrates most concepts associated with rotational motion and leads to the study of many new topics we group under the name rotation. Pure rotational motion occurs when points in an object move in circular paths centered on one point. Pure translational motion is motion with no rotation. Some motion combines both types, such as a rotating hockey puck moving along ice. Its wheels also spin rapidly the latter completing many revolutions, the former only part of one (a circular arc). The same physical principles are involved in each.",Introduction to Uniform Circular Motion and Gravitation,Physics,"centripetal acceleration, angular velocity, non-inertial frames, centripetal force, universal law"
"Glossary adiabatic process a process in which no heat transfer takes place Carnot cycle a cyclical process that uses only reversible processes, the adiabatic and isothermal processes Carnot efficiency the maximum theoretical efficiency for a heat engine Carnot engine a heat engine that uses a Carnot cycle change in entropy the ratio of heat transfer to temperature coefficient of performance for a heat pump, it is the ratio of heat transfer at the output (the hot reservoir) to the work supplied; for a refrigerator or air conditioner, it is the ratio of heat transfer from the cold reservoir to the work supplied cyclical process a process in which the path returns to its original state at the end of every cycle entropy a measurement of a system's disorder and its inability to do work in a system first law of thermodynamics states that the change in internal energy of a system equals the net heat transfer into the system minus the net work done by the system heat engine a machine that uses heat transfer to do work heat pump a machine that generates heat transfer from cold to hot human metabolism conversion of food into heat transfer, work, and stored fat internal energy the sum of the kinetic and potential energies of a system's atoms and molecules irreversible process any process that depends on path direction isobaric process constant-pressure process in which a gas does work isochoric process a constant-volume process isothermal process a constant-temperature process macrostate an overall property of a system microstate each sequence within a larger macrostate Otto cycle a thermodynamic cycle, consisting of a pair of adiabatic processes and a pair of isochoric processes, that converts heat into work, e.g., the four-stroke engine cycle of intake, compression, ignition, and exhaust reversible process a process in which both the heat engine system and the external environment theoretically can be returned to their original states second law of thermodynamics heat transfer flows from a hotter to a cooler object, never the reverse, and some heat energy in any process is lost to available work in a cyclical process second law of thermodynamics stated in terms of entropy the total entropy of a system either increases or remains constant; it never decreases statistical analysis using statistics to examine data, such as counting microstates and macrostates Section Summary 15.1 The First Law of Thermodynamics The first law of thermodynamics is given as , where is the change in internal energy of a system, is the net heat transfer (the sum of all heat transfer into and out of the system), and is the net work done (the sum of all work done on or by the system). Both and are energy in transit; only represents an independent quantity capable of being stored. The internal energy of a system depends only on the state of the system and not how it reached that state. Metabolism of living organisms, and photosynthesis of plants, are specialized types of heat transfer, doing work, and internal energy of systems. 15.2 The First Law of Thermodynamics and Some Simple Processes One of the important implications of the first law of thermodynamics is that machines can be harnessed to do work that humans previously did by hand or by external energy supplies such as running water or the heat of the Sun. A machine that uses heat transfer to do work is known as a heat engine. There are several simple processes, used by heat engines, that flow from the first law of thermodynamics. Among them are the isobaric, isochoric, isothermal and adiabatic processes. These processes differ from one another based on how they affect pressure, volume, temperature, and heat transfer. If the work done is performed on the outside environment, work ( ) will be a positive value. If the work done is done to the heat engine system, work ( ) will be a negative value. Some thermodynamic processes, including isothermal and adiabatic processes, are reversible in theory; that is, both the thermodynamic system and the environment can be returned to their initial states.",Section Summary,Physics,"carnot cycle, cyclical process, process, heat transfer, section summary"
"Consider the two situations illustrated and Figure 9.5 where forces are applied to an ice hockey stick lying flat on ice. The net external force is zero in both situations shown in the figure; but in one case, equilibrium is achieved, whereas in the other, it is not. , the ice hockey stick remains motionless. But , with the same forces applied in different places, the stick experiences accelerated rotation. Therefore, we know that the point at which a force is applied is another factor in determining whether or not equilibrium is achieved. This will be explored further in the next section. Friction is negligible, and the gravitational force is balanced by the support of the ice (a normal force). Thus, . Equilibrium is achieved, which is static equilibrium in this case. Here but the system is not at equilibrium. Hence, the is a necessary but not sufficient condition for achieving equilibrium. PHET EXPLORATIONS Torque Investigate how torque causes an object to rotate. Discover the relationships between angular acceleration, moment of inertia, angular momentum and torque. Click to view content ( 9.2 The Second Condition for Equilibrium By the end of this section, you will be able to: State the second condition that is necessary to achieve equilibrium. Explain torque and the factors on which it depends. Describe the role of torque in rotational mechanics. 9.2 The Second Condition for Equilibrium Several familiar factors determine how effective you are in opening the door. . First of all, the larger the force, the more effective it is in opening the door obviously, the harder you push, the more rapidly the door opens. Also, the point at which you push is crucial. If you apply your force too close to the hinges, the door will open slowly, if at all. Most people have been embarrassed by making this mistake and bumping up against a door when it did not open as quickly as expected. Finally, the direction in which you push is also important. The most effective direction is perpendicular to the door we push in this direction almost instinctively. Torque has both magnitude and direction. (a) Counterclockwise torque is produced by this force, which means that the door will rotate in a counterclockwise due to . Note that is the perpendicular distance of the pivot from the line of action of the force. (b) A smaller counterclockwise torque is produced by a smaller force acting at the same distance from the hinges (the pivot point). (c) The same force as in (a) produces a smaller counterclockwise torque when applied at a smaller distance from the hinges. (d) The same force as in (a), but acting in the opposite direction, produces a clockwise torque. (e) A smaller counterclockwise torque is produced by the same magnitude force acting at the same point but in a different direction. Here, is less than . (f) Torque is zero here since the force just pulls on the hinges, producing no rotation. In this case, . The magnitude, direction, and point of application of the force are incorporated into the definition of the physical quantity called torque. Torque is the rotational equivalent of a force. It is a measure of the effectiveness of a force in changing or accelerating a rotation (changing the angular velocity over a period of time). In equation form, the magnitude of torque is defined to be where (the Greek letter tau) is the symbol for torque, is the distance from the pivot point to the point where the force is applied, is the magnitude of the force, and is the angle between the force and the vector directed from the point of application to the pivot point, as seen and Figure 9.7. An alternative expression for torque is given in terms of the perpendicular lever arm as shown and Figure 9.7, which is defined as so that TORQUE The second condition necessary to achieve equilibrium involves avoiding accelerated rotation (maintaining a constant angular velocity). A rotating body or system can be in equilibrium if its rate of rotation is constant and remains unchanged by the forces acting on it. To understand what factors affect rotation, let us think about what happens when you open an ordinary door by rotating it on its hinges. 9.3 9.4 9.",9.2 The Second Condition for Equilibrium,Physics,"figure, torque, force, equilibrium, counterclockwise torque"
"This produces a different signal when the particle goes through a coil, an experimentally verified effect of length contraction. CHECK YOUR UNDER STANDING A particle is traveling through the Earth's atmosphere at a speed of . To an Earth-bound observer, the distance it travels is 2.50 km. How far does the particle travel in the particle's frame of reference? Solution 28.4 Relativistic Addition of Velocities By the end of this section, you will be able to: Calculate relativistic velocity addition. Explain when relativistic velocity addition should be used instead of classical addition of velocities. Calculate relativistic Doppler shift. If you've ever seen a kayak move down a fast-moving river, you know that remaining in the same place would be hard. The river current pulls the kayak along. Pushing the oars back against the water can move the kayak forward in the water, but that only accounts for part of the velocity. The kayak's motion is an example of classical addition of velocities. In classical physics, velocities add as vectors. The kayak's velocity is the vector sum of its velocity relative to the water and the water's velocity relative to the riverbank. Classical Velocity Addition For simplicity, we restrict our consideration of velocity addition to one-dimensional motion. Classically, velocities add like regular numbers in one-dimensional motion. (.) Suppose, for example, a girl is riding in a sled at a speed 1.0 m/s relative to an observer. She throws a snowball first forward, then backward at a speed of 1.5 m/s relative to the sled. We denote direction with plus and minus signs in one dimension; in this example, forward is 28.30 28 Special Relativity positive. Let be the velocity of the sled relative to the Earth, the velocity of the snowball relative to the Earth- bound observer, and the velocity of the snowball relative to the sled. Here the girl throws a snowball forward and then backward from a sled. The velocity of the sled relative to the Earth is . The velocity of the snowball relative to the sled is , while its velocity relative to the Earth is . Classically, . Thus, when the girl throws the snowball forward, . It makes good intuitive sense that the snowball will head towards the Earth-bound observer faster, because it is thrown forward from a moving vehicle. When the girl throws the snowball backward, . The minus sign means the snowball moves away from the Earth-bound observer. Relativistic Velocity Addition The second postulate of relativity (verified by extensive experimental observation) says that classical velocity addition does not apply to light. Imagine a car traveling at night along a straight road, as . If classical velocity addition applied to light, then the light from the car's headlights would approach the observer on the sidewalk at a speed . But we know that light will move away from the car at speed relative to the driver of the car, and light will move towards the observer on the sidewalk at speed , too. CLASSICAL VELOCITY ADDITION 28.31 28.4 Relativistic Addition of Velocities Classical velocity addition is not valid. EXAMPLE 28.3 Showing that the Speed of Light towards an Observer is Constant (in a Vacuum): The Speed of Light is the Speed of Light Suppose a spaceship heading directly towards the Earth at half the speed of light sends a signal to us on a laser- produced beam of light. Given that the light leaves the ship at speed as observed from the ship, calculate the speed at which it approaches the Earth. RELATIVISTIC VELOCITY ADDITION Either light is an exception, or the classical velocity addition formula only works at low velocities. The latter is the case. The correct formula for one-dimensional relativistic velocity addition is where is the relative velocity between two observers, is the velocity of an object relative to one observer, and is the velocity relative to the other observer. (For ease of visualization, we often choose to measure in our reference frame, while someone moving at relative to us measures .) Note that the term becomes very small at low velocities, and gives a result very close to classical velocity addition. As before, we see that classical velocity addition is an excellent approximation to the correct relativistic formula for small velocities.",28.4 Relativistic Addition of Velocities,Physics,"velocity addition, velocity, classical velocity, velocity relative, addition"
"The magnetic force on the current passed through this fluid can be used as a nonmechanical pump. A strong magnetic field is applied across a tube and a current is passed through the fluid at right angles to the field, resulting in a force on the fluid parallel to the tube axis as shown. The absence of moving parts makes this attractive for moving a hot, chemically active substance, such as the liquid sodium employed in some nuclear reactors. Experimental artificial hearts are testing with this technique for pumping blood, perhaps circumventing the adverse effects of mechanical pumps. (Cell membranes, however, are affected by the large fields needed in MHD, delaying its practical application in humans.) MHD propulsion for nuclear submarines has been proposed, because it could be considerably quieter than conventional propeller drives. The deterrent value of nuclear submarines is based on their ability to hide and survive a first or second nuclear strike. As we slowly disassemble our nuclear weapons arsenals, the submarine branch will be the last to be decommissioned because of this ability (.) Existing MHD drives are heavy and inefficient much development work is needed. The development of a silent drive submarine was dramatized in the book and the film The Hunt for Red October. 22.8 Torque on a Current Loop: Motors and Meters By the end of this section, you will be able to: Describe how motors and meters work in terms of torque on a current loop. Calculate the torque on a current-carrying loop in a magnetic field. Motors are the most common application of magnetic force on current-carrying wires. Motors have loops of wire in a magnetic field. When current is passed through the loops, the magnetic field exerts torque on the loops, which rotates a shaft. Electrical energy is converted to mechanical work in the process. (.) 22 Magnetism A current-carrying loop of wire attached to a vertically rotating shaft feels magnetic forces that produce a clockwise torque as viewed from above. Let us examine the force on each segment of the loop to find the torques produced about the axis of the vertical shaft. (This will lead to a useful equation for the torque on the loop.) We take the magnetic field to be uniform over the rectangular loop, which has width and height . First, we note that the forces on the top and bottom segments are vertical and, therefore, parallel to the shaft, producing no torque. Those vertical forces are equal in magnitude and opposite in direction, so that they also produce no net force on the loop. Figure 22.34 shows views of the loop from above. Torque is defined as , where is the force, is the distance from the pivot that the force is applied, and is the angle between and . As seen (a), right hand rule gives the forces on the sides to be equal in magnitude and opposite in direction, so that the net force is again zero. However, each force produces a clockwise torque. Since , the torque on each vertical segment is , and the two add to give a total torque. 22.19 22.8 Torque on a Current Loop: Motors and Meters (a) The equation for torque is derived using this view. Note that the perpendicular to the loop makes an angle with the field that is the same as the angle between and . (b) The maximum torque occurs when is a right angle and . (c) Zero (minimum) torque occurs when is zero and . (d) The torque reverses once the loop rotates past . Now, each vertical segment has a length that is perpendicular to , so that the force on each is . Entering into the expression for torque yields If we have a multiple loop of turns, we get times the torque of one loop. Finally, note that the area of the loop is ; the expression for the torque becomes This is the torque on a current-carrying loop in a uniform magnetic field. This equation can be shown to be valid for a loop of any shape. The loop carries a current , has turns, each of area , and the perpendicular to the loop makes an angle with the field . The net force on the loop is zero. EXAMPLE 22.5 Calculating Torque on a Current-Carrying Loop in a Strong Magnetic Field Find the maximum torque on a 100-turn square loop of a wire of 10.0 cm on a side that carries 15.0 A of current in a 2.00-T field. 22.20 22.21 22 Magnetism Strategy Torque on the loop can be found using . Maximum torque occurs when and . Solution For , the maximum torque is Entering known values yields Discussion This torque is large enough to be useful in a motor. The torque found in the preceding example is the maximum. As the coil rotates, the torque decreases to zero at .",22.8 Torque on a Current Loop: Motors and Meters,Physics,"torque, loop, magnetic field, current loop, current-carrying loop"
